title,price,sku,category
V1: MINI RED,7.95,SKU: 18-V1-MN-RD,Category: Version 1
V1: MINI BLACK,7.95,SKU: 18-V1-MN-BK,Category: Version 1
V1: MINI GOLD,7.95,SKU: 21-V1-MN-GL,Category: Version 1
V1: MINI GREEN,7.95,SKU: 21-V1-MN-GN,Category: Version 1
V1: MINI LIGHT BLUE,7.95,SKU: 21-V1-MN-BL,Category: Version 1
V1: MINI ORANGE,7.95,SKU: 21-V1-MN-OR,Category: Version 1
V1: MINI PURPLE,7.95,SKU: 21-V1-MN-PR,Category: Version 1
V1: MINI-DARK BLUE,7.95,SKU: 21-V1-MN-DB,Category: Version 1
V1: TALL BOY BIG BORE SILVER,10.95,SKU: 21-V1-BT-SV,Category: Version 1
V1: TALL BOY BIG BORE BLACK,10.95,SKU: 21-V1-BT-BK,Category: Version 1
V1: TALLBOY MINI BLACK,9.49,SKU: 21-V1-TM-BK,Category: Version 1
V1: MINI SILVER,7.95,SKU: 18-V1-MN-SV,Category: Version 1
V1: TALLBOY MINI SILVER,9.49,SKU: 18-V1-TM-SV,Category: Version 1
V1:BIG BORE – BLACK,9.49,SKU: 18-V1-BB-BK,Category: Version 1
V1: MAX BORE SILVER,9.49,SKU: 20-V1-MB-SV,Category: Version 1
V1:BIG BORE – SILVER,9.49,SKU: 17-V1-BB-SV,Category: Version 1
V1:SILVER SKIRTLESS,9.49,SKU: 17-V1-SK-SV,Category: Version 1
V1:CLEAR SKIRTLESS,9.49,SKU: 18-V1-SK-CR (Please Tighten Lightly),Category: Version 1
COLORED ACRYLIC – BLUE,9.49,SKU: 18-V1-ST-BA (Please Tighten Lightly),Category: Version 1
COLORED ACRYLIC – RED,9.49,SKU: 18-V1-ST-RA (Please Tighten Lightly),Category: Version 1
COLORED ACRYLIC -GREEN,9.49,SKU: 18-V1-ST-GA (Please Tighten Lightly),Category: Version 1
V1: WHITE (machined p.o.m plastic),7.95,SKU: 18-V1-ST-WH,Category: Version 1
V1: CHROME,10.49,SKU: 18-V1-ST-CH,Category: Version 1
V1: SILVER,9.49,SKU: 17-V1-ST-SV,Category: Version 1
V1: BRASS,10.49,SKU: 18-V1-ST-BS,Category: Version 1
V1:CLEAR,9.49,SKU: 17-V1-ST-CR (Please Tighten Lightly),Category: Version 1
V1: BLACK,9.49,SKU: 17-V1-ST-BK,Category: Version 1
V1: DARK BLUE,9.49,SKU: 17-V1-ST-DB,Category: Version 1
V1: LIGHT BLUE,9.49,SKU: 17-V1-ST-BL,Category: Version 1
V1: GREEN,9.49,SKU: 17-V1-ST-GN,Category: Version 1
V1: ORANGE,9.49,SKU: 17-V1-ST-OR,Category: Version 1
V1: PURPLE,9.49,SKU: 17-V1-ST-PR,Category: Version 1
V1: RED,9.49,SKU: 17-V1-ST-RD,Category: Version 1
V1: GOLD,9.49,SKU: 17-V1-ST-GL,Category: Version 1
V1: TALL BOY SILVER,10.95,SKU: 17-V1-TB-SV,Category: Version 1
V1: TALL BOY BLACK,10.95,SKU: 17-V1-TB-BK,Category: Version 1
V1: TALL BOY WHITE PLASTIC,9.49,SKU: 17-V1-TB-WH,Category: Version 1
V1: TALL BOY CLEAR,10.95,SKU: 17-V1-TB-CR (Please Tighten Lightly),Category: Version 1
V1: TALL BOY DARK BLUE,10.95,SKU: 17-V1-TB-DB,Category: Version 1
V1: TALL BOY GOLD,10.95,SKU: 17-V1-TB-GL,Category: Version 1
V1: TALL BOY GREEN,10.95,SKU: 17-V1-TB-GR,Category: Version 1
V1: TALL BOY LIGHT BLUE,10.95,SKU: 17-V1-TB-LB,Category: Version 1
V1: TALL BOY ORANGE,10.95,SKU: 17-V1-TB-OR,Category: Version 1
V1: TALL BOY PURPLE,10.95,SKU: 17-V1-TB-PR,Category: Version 1
V1: TALL BOY RED,10.95,SKU: 17-V1-TB-RD,Category: Version 1
